Participant_FABA,Attempt_1_FABA,Attempt_2_FABA,Attempt_3_FABA,Participant_DUO,Attempt_1_DUO,Attempt_2_DUO,Attempt_3_DUO,,,,
Participant 1,0,1,1,,Participant 1,1,1,1,,,Average_Per_Participant,
Participant 2,1,1,1,,Participant 2,1,1,1,,Participant 1,0.6666666667,1
Participant 3,0,0,0,,Participant 3,1,1,1,,Participant 2,1,1
Participant 4,1,1,1,,Participant 4,1,1,1,,Participant 3,0,1
Participant 5,1,1,1,,Participant 5,1,1,1,,Participant 4,1,1
Participant 6,0,0,0,,Participant 6,1,1,1,,Participant 5,1,1
Participant 7,0,0,0,,Participant 7,1,1,1,,Participant 6,0,1
Participant 8,0,1,1,,Participant 8,1,1,1,,Participant 7,0,1
Participant 9,0,0,1,,Participant 9,1,1,1,,Participant 8,0.6666666667,1
Participant 10,0,1,0,,Participant 10,1,1,1,,Participant 9,0.3333333333,1
Participant 11,0,0,0,,Participant 11,1,1,1,,Participant 10,0.3333333333,1
Participant 12,0,0,0,,Participant 12,1,1,1,,Participant 11,0,1
Participant 13,1,0,1,,Participant 13,1,1,1,,Participant 12,0,1
Participant 14,1,1,0,,Participant 14,1,1,1,,Participant 13,0.6666666667,1
Participant 15,0,1,0,,Participant 15,1,1,1,,Participant 14,0.6666666667,1
Participant 16,1,1,1,,Participant 16,1,1,1,,Participant 15,0.3333333333,1
,,,,,,,,,,Participant 16,1,1
